,crit_r1,crit_r2,crit_r3,crit_r4,crit_r5,crit_r6,crit_r7,cont_r1,cont_r2,cont_r3,cont_r4,cont_r5,cont_r6,cont_r7,item_id
31,-22.08697509765625,-19.255603790283203,-26.436092376708984,-25.278398513793945,-26.01313018798828,-13.370072364807129,-17.420635223388672,-20.784957885742188,-22.638538360595703,-15.87004280090332,-24.177631378173828,-25.746793746948242,-18.41360855102539,-47.435794830322266,4_B_NP2_un
32,-21.080093383789062,-21.3426456451416,-23.593223571777344,-26.068340301513672,-46.98674774169922,-16.247783660888672,-15.747798919677734,-17.289764404296875,-19.49349594116211,-19.7044734954834,-21.836727142333984,-26.033203125,-28.453014373779297,-24.523574829101562,5_A_NP1_amb
33,-21.080093383789062,-21.3426456451416,-25.17446517944336,-25.46441078186035,-46.78289031982422,-14.834871292114258,-14.88169002532959,-16.910593032836914,-18.382244110107422,-19.625925064086914,-20.434186935424805,-24.961828231811523,-28.147132873535156,-22.58445167541504,5_A_NP1_un
34,-21.080093383789062,-21.3426456451416,-23.593223571777344,-26.068340301513672,-46.98674774169922,-16.247783660888672,-15.747798919677734,-17.289764404296875,-18.178537368774414,-18.577838897705078,-22.41703224182129,-25.4760799407959,-28.446842193603516,-24.42532730102539,5_A_NP2_amb
35,-21.080093383789062,-21.3426456451416,-27.651447296142578,-25.69025421142578,-46.84120559692383,-14.565240859985352,-14.694440841674805,-16.79508399963379,-16.960712432861328,-18.452266693115234,-20.76157569885254,-24.146358489990234,-28.01162338256836,-22.281417846679688,5_A_NP2_un
36,-23.354637145996094,-22.165395736694336,-23.298484802246094,-25.971105575561523,-46.885826110839844,-16.185638427734375,-15.78860092163086,-17.3046817779541,-18.417804718017578,-18.782943725585938,-22.402036666870117,-25.52422332763672,-28.45226287841797,-24.347869873046875,5_B_NP1_amb
37,-23.354637145996094,-22.165395736694336,-27.325511932373047,-25.842777252197266,-46.71625900268555,-14.52066421508789,-14.707956314086914,-16.81705093383789,-17.212961196899414,-18.52307891845703,-20.660980224609375,-24.212553024291992,-28.026962280273438,-22.227252960205078,5_B_NP1_un
38,-23.354637145996094,-22.165395736694336,-23.298484802246094,-25.971105575561523,-46.885826110839844,-16.185638427734375,-15.78860092163086,-17.3046817779541,-19.102886199951172,-19.844837188720703,-22.137514114379883,-26.025920867919922,-28.374500274658203,-24.438547134399414,5_B_NP2_amb
39,-23.354637145996094,-22.165395736694336,-25.85802459716797,-25.604854583740234,-46.72968292236328,-14.719972610473633,-14.86970329284668,-16.922842025756836,-17.942461013793945,-19.745256423950195,-20.70584487915039,-24.910369873046875,-28.05669593811035,-22.484817504882812,5_B_NP2_un
40,-21.18349838256836,-23.83365249633789,-28.890775680541992,-19.0363826751709,-40.190120697021484,-24.12468719482422,-19.983551025390625,-25.6204776763916,-21.740558624267578,-16.82927703857422,-21.773876190185547,-19.74736785888672,-28.3492431640625,-17.50371742248535,6_A_NP1_amb
